Vivado Simulator 2018.3
Time resolution is 1 ps
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, 00000005, 00000000, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, 00000005, 00000000, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, 00000000, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, 00000000, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, 00000000, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, 00000000
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000000, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000008, 00000000, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000008, 0000000c, 00000000, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000008, 0000000c, 00000004, 00000000, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000008, 0000000c, 00000004, 00000001, 00000000
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000008, 0000000c, 00000004, 00000001, 00000001
R[16-23]=00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
R[24-31]=00000000, 00000000, 00000000, 00000000, 00000000, 0000000c, 00000000, 00000000
R[00-07]=00000000, ffffffff, 00000005, fffffffa, ffffffff, fffffffa, fffffff5, fffffffa
R[08-15]=ffffff50, fffffff5, 00000004, 00000008, 0000000c, 00000004, 00000001, 00000001
R[16-23]=0fffffff, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000
